,school.name
0,Criswell College
1,Beverly Hills Design Institute
2,Chamberlain University-Georgia
3,South University-Cleveland
4,Colorado State University-Global Campus
5,Warner Pacific University Professional and Graduate Studies
6,Rocky Mountain University of Health Professions
7,Yeshiva Gedolah Zichron Leyma
8,Alabama College of Osteopathic Medicine
9,University of Phoenix-Florida
10,University of Phoenix-Michigan
11,West Coast University-Miami
12,University of Phoenix-Virginia
13,CEM College-Mayaguez
14,Sanford Burnham Prebys Medical Discovery Institute
15,Presbyterian Theological Seminary in America
16,Mechon L'hoyroa
17,Purdue University Northwest
18,The Santa Barbara and Ventura Colleges of Law at Ventura
19,Catholic Distance University
20,Atlantis University
21,Theological Seminary of the Reformed Episcopal Church
22,Antioch College
23,California Jazz Conservatory
24,Chamberlain University-Nevada
25,The Santa Barbara and Ventura Colleges of Law at Santa Barbara
26,Universidad Ana G. Mendez-Online Campus
27,Seattle Film Institute
28,Purdue University Global-Milwaukee
29,West Coast University-Center for Graduate Studies
30,Alhambra Medical University
31,Huntington University of Health Sciences
32,University of North Texas at Dallas
33,Montana Bible College
34,University of Wisconsin-Milwaukee Flex
35,Grace Mission University
36,Veritas Baptist College
37,DeVry University-Missouri
38,DeVry University-North Carolina
39,National American University-Georgetown
40,DeVry University-Pennsylvania
41,DeVry University-Texas
42,DeVry University-Arizona
43,Middle Georgia State University
44,DeVry University-Georgia
45,Northeastern University Lifelong Learning Network
46,Appalachian College of Pharmacy
47,Yeshiva Yesodei Hatorah
48,Mid-South Christian College
49,Gemini School of Visual Arts & Communication
50,Midwives College of Utah
51,Virginia Polytechnic Institute & State University
52,Faith Theological Seminary
53,South University-Tampa
54,Northeast Catholic College
55,New York Theological Seminary
56,Strayer University-Delaware
57,University of Fort Lauderdale
58,Geisinger Commonwealth School of Medicine
59,American Sentinel University
60,Carolina College of Biblical Studies
61,New York Film Academy
62,Grace College of Divinity
63,North American University
64,Independence University
65,Shepherds Theological Seminary
66,National American University-Tulsa
67,American Business and Technology University
68,Bryant & Stratton College-Bayshore
69,The Art Institute of San Antonio
70,South University-Virginia Beach
71,The Chicago School of Professional Psychology at Washington DC
72,Strayer University-Mississippi
73,Herzing University-Kenosha
74,Strayer University-Florida
75,Strayer University-New Jersey
76,Strayer University-Arkansas
77,Institute of Taoist Education and Acupuncture
78,Daoist Traditions College of Chinese Medical Arts
79,University of California-Merced
80,American Academy of Acupuncture and Oriental Medicine
81,Ave Maria University
82,Vermont College of Fine Arts
83,Ottawa University-Online
84,Herzing University-Toledo
85,National American University-Austin
86,Yeshiva Toras Chaim
87,Chamberlain University-Arizona
88,Ecumenical Theological Seminary
89,Phoenix Institute of Herbal Medicine & Acupuncture
90,Roseman University of Health Sciences
91,Huntsville Bible College
92,Bais Medrash Toras Chesed
93,Franklin W Olin College of Engineering
94,Dewey University-Juana Diaz
95,CollegeAmerica-Colorado Springs
96,Carolina Christian College
97,Platt College-OKC-Memorial
98,Johnson & Wales University-Charlotte
99,Charlotte Christian College and Theological Seminary
0,Baptist University of the Americas
1,Neumont College of Computer Science
2,Bryn Athyn College of the New Church
3,SAE Expression College
4,Lincoln University
5,Franciscan School of Theology
6,Pacific Islands University
7,Oregon State University-Cascades Campus
8,Irell & Manella Graduate School of Biological Sciences at City of Hope
9,Colorado School of Traditional Chinese Medicine
10,Pacific College of Oriental Medicine-Chicago
11,Bexley Hall Seabury Western Theological Seminary Federation Inc.
12,Ave Maria School of Law
13,National American University-Overland Park
14,Brookline College-Albuquerque
15,Dewey University-Hato Rey
16,Appalachian School of Law
17,Florida Coastal School of Law
18,Johnson & Wales University-Denver
19,National American University-Albuquerque West
20,Academy of Vocal Arts
21,University of Connecticut-Waterbury Campus
22,Stratford University
23,Epic Bible College
24,Fairleigh Dickinson University-Florham Campus
25,Seminario Evangelico de Puerto Rico
26,Yeshivah Gedolah Rabbinical College
27,American College of Acupuncture and Oriental Med
28,The Creative Center
29,Alabama A & M University
30,Tuskegee University
31,University of Alaska Fairbanks
32,Goucher College
33,Massachusetts College of Art and Design
34,William James College
35,Saint John's Seminary
36,Alma College
37,Rochester College
38,Saginaw Valley State University
39,Mayo Clinic College of Medicine and Science
40,Siena Heights University
41,Saint Paul School of Theology
42,University of Nevada-Las Vegas
43,Peru State College
44,Granite State College
45,Alfred University
46,Rutgers University-Camden
47,American Musical and Dramatic Academy
48,Seton Hall University
49,Barnard College
50,New Mexico Highlands University
51,Southwestern College
52,Brooklyn Law School
53,Metropolitan College of New York
54,CUNY City College
55,CUNY Hunter College
56,Weill Cornell Medical College
57,Central Yeshiva Tomchei Tmimim Lubavitz
58,CUNY Queens College
59,CUNY York College
60,Jamestown Business College
61,Mirrer Yeshiva Cent Institute
62,Helene Fuld College of Nursing
63,LIM College
64,Hilbert College
65,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech
66,Machzikei Hadath Rabbinical College
67,Rabbinical Academy Mesivta Rabbi Chaim Berlin
68,Sarah Lawrence College
69,New York Institute of Technology
70,Barton College
71,Webb Institute
72,SUNY College at Brockport
73,Belmont Abbey College
74,SUNY College at Geneseo
75,Yeshiva Karlin Stolin
76,Yeshiva of Nitra Rabbinical College
77,SUNY College at Oswego
78,United States Merchant Marine Academy
79,Yeshivath Zichron Moshe
80,SUNY Empire State College
81,SUNY Maritime College
82,Salem College
83,North Dakota State University-Main Campus
84,Cincinnati Christian University
85,Valley City State University
86,Bismarck State College
87,Kent State University at Salem
88,Good Samaritan College of Nursing and Health Science
89,University of Mount Union
90,Hiram College
91,Malone University
92,United Theological Seminary
93,Ohio Northern University
94,Tiffin University
95,Ohio State University-Newark Campus
96,Wittenberg University
97,Xavier University
98,Youngstown State University
99,University of Science and Arts of Oklahoma
0,Oklahoma Wesleyan University
1,University of Oklahoma-Health Sciences Center
2,Indiana State University
3,Indiana University-Purdue University-Indianapolis
4,Saint Meinrad School of Theology
5,Northern Kentucky University
6,Lexington Theological Seminary
7,Centenary College of Louisiana
8,Louisiana State University and Agricultural & Mechanical College
9,Southern University and A & M College
10,Franciscan Missionaries of Our Lady University
11,Louisiana Tech University
12,University of Maryland-University College
13,Purdue University Global-Hagerstown
14,University of New England
15,Capitol Technology University
16,American International College
17,Andover Newton Theological School
18,Salisbury University
19,Bridgewater State University
20,Boston Baptist College
21,Bay State College
22,Laboure College
23,Clark University
24,Emmanuel College
25,Dean College
26,Eastern Nazarene College
27,Benjamin Franklin Institute of Technology
28,Harvard University
29,Hellenic College-Holy Cross Greek Orthodox School of Theology
30,College of the Holy Cross
31,Lasell College
32,University of Massachusetts-Dartmouth
33,Montserrat College of Art
34,Pope St John XXIII National Seminary
35,The New England Conservatory of Music
36,Newbury College
37,Worcester Polytechnic Institute
38,Great Lakes Christian College
39,Baker College
40,Hope College
41,Jackson College
42,University of Michigan-Dearborn
43,Cleary University
44,Cranbrook Academy of Art
45,Cornerstone University
46,Spring Arbor University
47,Oakland University
48,Western Michigan University-Thomas M. Cooley Law School
49,Bemidji State University
50,Kuyper College
51,Wayne State University
52,Rasmussen College-Minnesota
53,Herzing University-Minneapolis
54,University of Minnesota-Morris
55,Dunwoody College of Technology
56,Drury University
57,Central Methodist University-College of Liberal Arts and Sciences
58,Northwest Missouri State University
59,Missouri Southern State University
60,Stevens-The Institute of Business & Arts
61,Washington University in St Louis
62,Webster University
63,Montana State University
64,William Woods University
65,Colby-Sawyer College
66,Nebraska Methodist College of Nursing & Allied Health
67,Salish Kootenai College
68,University of New Hampshire-Main Campus
69,Notre Dame de Namur University
70,Occidental College
71,Hope International University
72,Santa Barbara Business College-Bakersfield
73,University of Redlands
74,San Francisco State University
75,University of Southern California
76,Woodbury University
77,Colorado Technical University-Colorado Springs
78,Holy Apostles College and Seminary
79,Yale University
80,University of Bridgeport
81,Mitchell College
82,Barry University
83,Full Sail University
84,Florida Institute of Technology
85,AI Miami International University of Art and Design
86,Keiser University-Ft Lauderdale
87,Altierus Career College-Tampa
88,The University of Tampa
89,Miami Dade College
90,Valencia College
91,LaGrange College
92,Berry College
93,Georgia Southwestern State University
94,Georgia College & State University
95,Mercer University
96,Atlanta Metropolitan State College
97,East Georgia State College
98,Augustana College
99,University of Hawaii at Manoa
